[5-2: Random Items]
25|||Mundane equipment (worth 10 gp or less)|||6-9: Goods and Services 1
36|||Mundane equipment (worth 11-50 gp or less)|||6-9: Goods and Services 2
42|5||Mundane equipment (worth 51-100 gp or less)|||6-9: Goods and Services 3
46|16||Mundane equipment (worth 100 gp or more)|||6-9: Goods and Services 4
56|19||Armor or shield (non-magical mwk)|||5-4: Random Armor and Shields
69|23||Weapon (non-magical mwk)|||5-11: Random Weapons
77|35|10|Potion|||5-19: Random Potions and Oils
83|45|22|Scroll|||5-24: Random Scrolls
88|53|26|Minor wondrous item|||15-18: Minor Wondrous Items
91|68|38|Armor or shield (magical)|||5-4: Random Armor and Shields: Magical
96|83|56|Weapon (magical)|||5-11: Random Weapons: Magical
98|91|66|Wand|||5-47: Random Wands
100|95|74|Ring|||15-13: Rings
|100|84|Medium wondrous item|||15-19: Medium Wondrous Items
||90|Rod|||15-14: Rods
||94|Staff|||15-16: Staves
||100|Major wondrous item|||15-20: Major Wondrous Items

[6-9: Goods and Services 1]
1|||backpack (empty)|2|gp|
2|||barrel (empty)|2|gp|
3|||basket (empty)|4|sp|
4|||bedroll|1|sp|
5|||bell|1|gp|
6|||blanket, winter|5|sp|
7|||block and tackle|5|gp|
8|||bottle, glass|2|gp|
9|||bucket (empty)|5|sp|
10|||caltrops|1|gp|
11|||candle|1|cp|
12|||canvas (sq. yd.)|1|sp|
13|||case, map or scroll|1|gp|
14|||chalk, 1 piece|1|cp|
15|||chest (empty)|2|gp|
16|||crowbar|2|gp|
17|||fishhook|1|sp|
18|||fishing net, 25 sq. ft.|4|gp|
19|||flask (empty)|3|cp|
20|||flint and steel|1|gp|
21|||grappling hook|1|gp|
22|||hammer|5|sp|
23|||ink (1 oz. vial)|8|gp|
24|||inkpen|1|sp|
25|||jug, clay|3|cp|
26|||ladder, 10-foot|2|sp|
27|||lamp, common|1|sp|
28|||lantern, hooded|7|gp|
29|||mirror, small steel|10|gp|
30|||mug/tankard, clay|2|cp|
31|||oil (1-pint flask)|1|sp|
32|||paper (sheet)|4|sp|
33|||parchment (sheet)|2|sp|
34|||pick, miner's|3|gp|
35|||pitcher, clay|2|cp|
36|||piton|1|sp|
37|||pole, 10-foot|5|cp|
38|||pot, iron|8|sp|
39|||pouch, belt (empty)|1|gp|
40|||ram, portable|10|gp|
41|||rope, hemp (50 ft.)|1|gp|
42|||rope, silk (50 ft.)|10|gp|
43|||sack (empty)|1|sp|
44|||sealing wax|1|gp|
45|||sewing needle|5|sp|
46|||shovel or spade|2|gp|
47|||signal whistle|8|sp|
48|||signet ring|5|gp|
49|||sledge|1|gp|
50|||soap (per lb.)|5|sp|
51|||tent|10|gp|
52|||torch|1|cp|
53|||vial, ink or potion|1|gp|
54|||waterskin|1|gp|
55|||whetstone|2|cp|
56|||acid (flask)|10|gp|
57|||sunrod|2|gp|
58|||tindertwig|1|gp|
59|||artisan's tools|5|gp|
60|||holy symbol, wooden|1|gp|
61|||musical instrument, common|5|gp|
62|||scale, merchant's|2|gp|
63|||spell component pouch|5|gp|
64|||artisan's outfit|1|gp|
65|||cleric's vestments|5|gp|
66|||cold-weather outfit|8|gp|
67|||entertainer's outfit|3|gp|
68|||explorer's outfit|10|gp|
69|||monk's outfit|5|gp|
70|||peasant's outfit|1|sp|
71|||scholar's outfit|5|gp|
72|||traveler's outfit|1|gp|
73|||ale, gallon|2|sp|
74|||mug|4|cp|
75|||wine, common (pitcher)|2|sp|
76|||wine, fine (bottle)|10|gp|
77|||oar|2|gp|

[6-9: Goods and Services 2]
1|||chain (10 ft.)|30|gp|
2|||hourglass|25|gp|
3|||lantern, bullseye|12|gp|
4|||lock, simple|20|gp|
5|||lock, average|40|gp|
6|||manacles|15|gp|
7|||manacles, mwk|50|gp|
8|||alchemist's fire (flask)|20|gp|
9|||antitoxin (vial)|50|gp|
10|||holy water (flask)|25|gp|
11|||smokestick|20|gp|
12|||tanglefoot bag|50|gp|
13|||thunderstone|30|gp|
14|||disguise kit|50|gp|
15|||healer's kit|50|gp|
16|||holy symbol, silver|25|gp|
17|||spellbook, wizard's (blank)|15|gp|
18|||thieves' tools|30|gp|
19|||tool, mwk|50|gp|
20|||courtier's outfit|30|gp|
21|||cart|15|gp|
22|||rowboat|50|gp|
23|||sled|20|gp|
24|||wagon|35|gp|

[6-9: Goods and Services 3]
1|||lock, good|80|gp|
2|||artisan's tools, mwk|55|gp|
3|||climber's kit|80|gp|
4|||magnifying glass|100|gp|
5|||musical instrument, mwk|100|gp|
6|||thieves' tools, mwk|100|gp|
7|||noble's outfit|75|gp|
8|||carriage|100|gp|

[6-9: Goods and Services 4]
1|||lock, superior|150|gp|
2|||spyglass|1000|gp|
3|||water clock|1000|gp|
4|||everburning torch|110|gp|
5|||alchemist's lab|200|gp|
6|||royal outfit|200|gp|
7|||galley|30000|gp|
8|||keelboat|3000|gp|
9|||longship|10000|gp|
10|||sailing ship|10000|gp|
11|||warship|25000|gp|

[5-4: Random Armor and Shields]
55|||Armor|||5-3: Random Armor
100|||Shield|||5-5: Random Shields

[5-3: Random Armor]
5|||mwk padded armor|155,X,X|gp|
13|||mwk leather armor|160,X,X|gp|
22|||mwk studded leather armor|175,X,X|gp|5-6: Armor Special Materials: Metals
30|||mwk chain shirt|X,250,X|gp|5-6: Armor Special Materials: Metals
38|||mwk hide armor|X,165,X|gp|5-6: Armor Special Materials: Dragonhide
46|||mwk scale mail|X,200,X|gp|5-6: Armor Special Materials: Metals
54|||mwk chainmail|X,300,X|gp|5-6: Armor Special Materials: Metals
62|||mwk breastplate|X,350,X|gp|5-6: Armor Special Materials: Dragonhide, metals
70|||mwk splint mail|X,X,350|gp|5-6: Armor Special Materials: Metals
78|||mwk banded mail|X,X,400|gp|5-6: Armor Special Materials: Dragonhide, metals
86|||mwk half-plate|X,X,750|gp|5-6: Armor Special Materials: Dragonhide, metals
94|||mwk full plate|X,X,1650|gp|5-6: Armor Special Materials: Dragonhide, metals
97|||with spikes<ROLL AGAIN>|50,50,50|gp|5-3: Random Armor
100|||with locked gauntlet<ROLL AGAIN>|8,8,8|gp|5-3: Random Armor

[5-6: Armor Special Materials: Metals]
90|||normal|||
97|||adamantite|4850,9850,14850|gp|
100|||mithral|850,3850,8850|gp|

[5-6: Armor Special Materials: Dragonhide]
90|||normal|||
100|||dragonhide|x2||

[5-6: Armor Special Materials: Dragonhide, metals]
90|||normal|||
94|||adamantite|4850,9850,14850|gp|
98|||dragonhide|x2||
100|||mithral|850,3850,8850|gp|

[5-5: Random Shields]
16|||mwk buckler|165,-5,0|gp|5-7: Shield Special Materials: Wood, steel
32|||mwk shield, light wooden|153,-5,0|gp|5-7: Shield Special Materials: Wood
48|||mwk shield, light steel|159,-6,0|gp|5-7: Shield Special Materials: Steel
64|||mwk shield, heavy wooden|157,-10,0|gp|5-7: Shield Special Materials: Wood
80|||mwk shield, heavy steel|170,-15,0|gp|5-7: Shield Special Materials: Steel
95|||mwk shield, tower|180,-45,0|gp|5-7: Shield Special Materials: Wood
100|||with shield spikes<ROLL AGAIN>|10,-10,0|gp|5-5: Random Shields

[5-7: Shield Special Materials: Wood]
90|||normal|||
100|||darkwood|-3,10,0||

[5-7: Shield Special Materials: Steel]
90|||normal|||
95|||dragonhide|x2||
100|||mithral|850||

[5-7: Shield Special Materials: Wood, steel]
90|||normal|||
95|||darkwood|-3,10,0||
100|||mithral|850||

[5-4: Random Armor and Shields: Magical]
55|||Armor|||5-3: Random Armor: Magical
100|||Shield|||5-5: Random Shields: Magical

[5-3: Random Armor: Magical]
5|||padded armor|155,X,X|gp|5-8: Magic Armor
13|||leather armor|160,X,X|gp|5-8: Magic Armor
22|||studded leather armor|175,X,X|gp|5-6: Armor Special Materials: Metals: Magical
30|||chain shirt|X,250,X|gp|5-6: Armor Special Materials: Metals: Magical
38|||hide armor|X,165,X|gp|5-6: Armor Special Materials: Dragonhide: Magical
46|||scale mail|X,200,X|gp|5-6: Armor Special Materials: Metals: Magical
54|||chainmail|X,300,X|gp|5-6: Armor Special Materials: Metals: Magical
62|||breastplate|X,350,X|gp|5-6: Armor Special Materials: Dragonhide, metals: Magical
70|||splint mail|X,X,350|gp|5-6: Armor Special Materials: Metals: Magical
78|||banded mail|X,X,400|gp|5-6: Armor Special Materials: Dragonhide, metals: Magical
86|||half-plate|X,X,750|gp|5-6: Armor Special Materials: Dragonhide, metals: Magical
94|||full plate|X,X,1650|gp|5-6: Armor Special Materials: Dragonhide, metals: Magical
97|||with spikes<ROLL AGAIN>|50,50,50|gp|5-3: Random Armor: Magical
100|||with locked gauntlet<ROLL AGAIN>|8,8,8|gp|5-3: Random Armor: Magical

[5-6: Armor Special Materials: Metals: Magical]
90|||normal|||5-8: Magic Armor
97|||adamantite|4850,9850,14850|gp|5-8: Magic Armor
100|||mithral|850,3850,8850|gp|5-8: Magic Armor

[5-6: Armor Special Materials: Dragonhide: Magical]
90|||normal|||5-8: Magic Armor
100|||dragonhide|x2||5-8: Magic Armor

[5-6: Armor Special Materials: Dragonhide, metals: Magical]
90|||normal|||5-8: Magic Armor
94|||adamantite|4850,9850,14850|gp|5-8: Magic Armor
98|||dragonhide|x2||5-8: Magic Armor
